timestamp,symbol,side,qty,price,pnl,trade_type,duration
2025-09-29 12:04:23.352851,MSFT,BUY,1,513.0031,0,reversal,
2025-09-29 12:04:23.468133,MSFT,BUY,1,513.0031,0,entry,
2025-09-29 12:04:23.938809,NVDA,BUY,5,179.85,0,entry,
2025-09-29 12:04:24.308405,AMD,BUY,6,160.32,0,entry,
2025-09-29 12:04:24.756175,TSLA,SELL,4,443.1,0,exit,
2025-09-29 12:04:25.057886,META,BUY,1,749.0839,0,entry,
2025-09-29 12:04:25.384679,NFLX,BUY,0,1215.0,0,entry,
2025-09-29 12:04:25.696317,SMCI,BUY,21,46.05,0,entry,
2025-09-29 12:04:28.162617,AMZN,BUY,4,221.8519,0,reversal,
2025-09-29 12:04:28.208992,AMZN,BUY,4,221.8519,0,entry,
2025-09-29 12:04:30.699953,NKE,BUY,14,69.6084,0,reversal,
2025-09-29 12:04:30.745384,NKE,BUY,14,69.6084,0,entry,
2025-09-29 12:04:31.345924,RCL,BUY,3,329.492,0,entry,
2025-09-29 12:04:31.688355,CCL,BUY,32,31.16,0,entry,
2025-09-29 12:04:31.989304,DAL,BUY,17,57.74,0,entry,
2025-09-29 12:04:32.313496,AAL,BUY,88,11.3601,0,entry,
2025-09-29 12:04:34.747164,PFE,BUY,42,23.84,0,reversal,
2025-09-29 12:04:34.798583,PFE,BUY,41,23.84,0,entry,
2025-09-29 12:04:37.256342,MRK,BUY,12,78.6966,0,reversal,
2025-09-29 12:04:37.301403,MRK,BUY,12,78.6966,0,entry,
2025-09-29 12:04:37.631289,BIIB,BUY,7,137.45,0,entry,
2025-09-29 12:04:37.980116,MRNA,BUY,40,24.76,0,entry,
2025-09-29 12:04:38.261516,REGN,BUY,1,566.75,0,entry,
2025-09-29 12:04:38.555575,CRSP,BUY,16,62.18,0,entry,
2025-09-29 12:04:38.849331,NVAX,BUY,115,8.64,0,entry,
2025-09-29 12:04:39.789656,GS,BUY,1,807.0,0,entry,
2025-09-29 12:04:40.055447,MS,BUY,6,161.36,0,entry,
2025-09-29 12:04:42.978452,GE,BUY,3,296.4858,0,reversal,
2025-09-29 12:04:43.025953,GE,BUY,3,296.4858,0,entry,
2025-09-29 12:04:43.365009,F,BUY,82,12.0602,0,entry,
2025-09-29 12:04:43.657346,GM,BUY,16,61.65,0,entry,
2025-09-29 12:04:43.975483,LCID,BUY,41,24.17,0,entry,
2025-09-29 12:04:44.813226,UAL,BUY,10,98.7,0,entry,
2025-09-29 12:04:47.270792,XOM,SELL,8,117.17,0,reversal,
2025-09-29 12:04:47.316557,XOM,SELL,-8,117.17,0,entry,
2025-09-29 12:04:47.888557,OXY,BUY,20,48.21,0,entry,
2025-09-29 12:04:50.294391,COP,SELL,10,98.0,0,reversal,
2025-09-29 12:04:50.340194,COP,SELL,-10,98.0,0,entry,
2025-09-29 12:04:50.653054,AA,BUY,30,33.19,0,entry,
2025-09-29 12:04:50.969458,NEM,BUY,11,87.7,0,entry,
2025-09-29 12:04:51.277660,MOS,BUY,28,35.57,0,entry,
2025-09-29 12:04:53.700190,KO,BUY,15,65.66,0,reversal,
2025-09-29 12:04:53.745752,KO,BUY,15,65.66,0,entry,
2025-09-29 12:04:56.190204,WMT,BUY,9,103.02,0,reversal,
2025-09-29 12:04:56.238840,WMT,BUY,9,103.02,0,entry,
2025-09-29 12:04:57.477674,BTCO,SELL,-9,108.87,0,entry,
2025-09-29 12:04:57.818617,BITO,BUY,51,19.2712,0,entry,
2025-09-29 12:04:58.121343,GBTC,BUY,11,87.8,0,entry,
2025-09-29 12:04:58.523689,IBIT,SELL,-15,63.65,0,entry,
2025-09-29 12:04:58.800532,ARKW,BUY,5,170.3908,0,entry,
2025-09-29 12:04:59.113736,VXX,SELL,-30,32.8,0,entry,
2025-09-29 12:04:59.449420,UVXY,BUY,97,10.3088,0,entry,
