timestamp,symbol,qty,entry_price,current_price,unrealized_pnl
2025-10-20 10:59:08.988836,DIA,4.0,463.05,,
2025-10-20 10:59:08.988843,VTI,18.0,328.33,,
2025-10-20 10:59:08.988845,VOO,2.0,612.68,,
2025-10-20 10:59:08.988847,AAPL,10.0,253.37,,
2025-10-20 10:59:08.988849,AMD,10.0,237.01,,
2025-10-20 10:59:08.988851,TSLA,2.0,444.29,,
2025-10-20 10:59:08.988853,META,12.0,720.0,,
2025-10-20 10:59:08.988855,NFLX,1.0,1203.0,,
2025-10-20 10:59:08.988856,ORCL,5.0,293.44,,
2025-10-20 10:59:08.988859,INTC,32.0,37.5,,
2025-10-20 10:59:08.988861,CSCO,171.0,70.15,,
2025-10-20 10:59:08.988863,IBM,42.0,282.5,,
2025-10-20 10:59:08.988865,NOW,1.0,903.6,,
2025-10-20 10:59:08.988867,SNOW,58.0,243.74,,
2025-10-20 10:59:08.988868,PLTR,9.0,180.14,,
2025-10-20 10:59:08.988871,ZM,111.0,80.5,,
2025-10-20 10:59:08.988873,CRM,43.0,246.0,,
2025-10-20 10:59:08.988875,ADBE,26.0,334.5,,
2025-10-20 10:59:08.988877,PYPL,88.0,67.87,,
2025-10-20 10:59:08.988878,ROKU,95.0,94.4,,
2025-10-20 10:59:08.988885,SPOT,-1.0,670.5,,
2025-10-20 10:59:08.988887,JPM,48.0,298.5,,
2025-10-20 10:59:08.988889,BAC,209.0,51.55,,
2025-10-20 10:59:08.988891,GS,7.0,751.98,,
2025-10-20 10:59:08.988893,V,26.0,341.3,,
2025-10-20 10:59:08.988895,MA,2.0,562.5,,
2025-10-20 10:59:08.988897,AXP,34.0,346.0,,
2025-10-20 10:59:08.988899,C,92.0,97.6,,
2025-10-20 10:59:08.988901,BLK,10.0,1161.16,,
2025-10-20 10:59:08.988903,COST,1.0,936.0,,
2025-10-20 10:59:08.988905,HD,3.0,392.0275,,
2025-10-20 10:59:08.988907,TGT,118.0,91.11,,
2025-10-20 10:59:08.988909,LOW,4.0,244.967,,
2025-10-20 10:59:08.988911,MCD,39.0,307.51,,
2025-10-20 10:59:08.988913,SBUX,-14.0,85.28,,
2025-10-20 10:59:08.988916,NKE,176.0,67.8,,
2025-10-20 10:59:08.988918,DIS,80.0,111.36,,
2025-10-20 10:59:08.988920,JNJ,61.0,193.69,,
2025-10-20 10:59:08.988922,UNH,25.0,357.5,,
2025-10-20 10:59:08.988924,PFE,48.0,24.66,,
2025-10-20 10:59:08.988925,ABBV,52.0,229.26,,
2025-10-20 10:59:08.988928,TMO,2.0,538.92,,
2025-10-20 10:59:08.988930,DHR,51.0,209.88,,
2025-10-20 10:59:08.988931,ABT,-9.0,128.5,,
2025-10-20 10:59:08.988934,LLY,11.0,802.111,,
2025-10-20 10:59:08.988935,XOM,12.0,112.46,,
2025-10-20 10:59:08.988937,CVX,11.0,153.25,,
2025-10-20 10:59:08.988939,COP,138.0,86.75,,
2025-10-20 10:59:08.988941,EOG,11.0,106.22,,
2025-10-20 10:59:08.988942,SLB,363.0,33.0,,
2025-10-20 10:59:08.988944,FCX,215.0,41.75,,
2025-10-20 10:59:08.988946,NEM,97.0,91.94,,
2025-10-20 10:59:08.988948,LIN,2.0,450.89,,
2025-10-20 10:59:08.988950,BA,66.0,216.5,,
2025-10-20 10:59:08.988952,CAT,22.0,527.08,,
2025-10-20 10:59:08.988954,GE,41.0,301.8,,
2025-10-20 10:59:08.988956,MMM,81.0,153.24,,
2025-10-20 10:59:08.988957,HON,44.0,203.63,,
2025-10-20 10:59:08.988959,UPS,103.0,86.79,,
2025-10-20 10:59:08.988961,FDX,50.0,237.8,,
2025-10-20 10:59:08.988963,RTX,67.0,158.56,,
2025-10-20 10:59:08.988965,VZ,29.0,40.69,,
2025-10-20 10:59:08.988966,T,-45.0,26.33,,
2025-10-20 10:59:08.988968,TMUS,5.0,229.5,,
2025-10-20 10:59:08.988970,NEE,106.0,84.76,,
2025-10-20 10:59:08.988974,SO,123.0,97.5,,
2025-10-20 10:59:08.988975,DUK,10.0,128.53,,
2025-10-20 10:59:08.988977,AEP,-10.0,117.53,,
2025-10-20 10:59:08.988979,EXC,125.0,47.94,,
2025-10-20 10:59:08.988981,AMT,47.0,191.29,,
2025-10-20 10:59:08.988983,PLD,152.0,125.8,,
2025-10-20 10:59:08.988985,CCI,123.0,97.5,,
2025-10-20 10:59:08.988987,EQIX,1.0,813.93,,
2025-10-20 10:59:08.988989,PSA,39.0,307.61,,
2025-10-20 10:59:08.988991,EXR,7.0,151.54,,
2025-10-20 10:59:08.988993,ASML,11.0,1027.0,,
2025-10-20 10:59:08.988994,TSM,3.0,302.03,,
2025-10-20 10:59:08.988998,BABA,-7.0,166.65,,
2025-10-20 10:59:08.989000,PDD,69.0,129.4,,
2025-10-20 10:59:08.989002,NIO,881.0,6.81,,
2025-10-20 10:59:08.989004,LI,401.0,22.44,,
2025-10-20 10:59:08.989006,SOL/USD,46.6187185,193.0555,,
2025-10-20 10:59:08.989008,XRP/USD,2427.5281695,2.47165,,
2025-10-20 10:59:08.989010,LINK/USD,317.7915605,18.8803,,
2025-10-20 10:59:08.989012,AAVE/USD,38.4572655,234.026,,
2025-10-20 10:59:08.989014,DOT/USD,1930.3777105,3.1082,,
2025-10-20 10:59:08.989016,WMT,11.0,107.85,,
2025-10-20 10:59:08.989018,XPEV,284.0,21.12,,
2025-10-20 10:59:08.989020,AVAX/USD,432.1085455,20.8281,,
2025-10-20 10:59:08.989021,UNI/USD,1859.1824245,6.45445,,
2025-10-20 10:59:08.989023,LTC/USD,126.58575,94.7974,,
2025-10-20 10:59:08.989025,GOOGL,-9.0,253.47,,
2025-10-20 10:59:08.989027,AMZN,-13.0,212.53,,
2025-10-20 10:59:08.989030,ETH/USD,2.236257,4024.5825,,
