feature,importance
volume_ratio,0.1885874003012877
sma_ratio,0.07766770321805083
bb_position,0.07033334599431369
price_vs_sma50,0.07006478173121372
rsi_14,0.06300007452830467
volume_breakout,0.05843502866583569
breakout_strength,0.05522892736615534
price_vs_sma20,0.03990698721291919
macd,0.03365864181097412
macd_signal,0.02728531169919655
volume_trend,0.027213618066770123
low_10d,0.02208355987702844
high_low_range,0.013277934837852326
low_5d,0.012610508437946451
money_flow_sma,0.011857305116543421
macd_hist,0.011475128911706142
price_change_20d,0.01120168040196299
low_3d,0.010599577099527115
vol_regime_20d,0.008983843796410504
bb_upper,0.008499348798797594
momentum_5d,0.008497683389486383
vol_regime_3d,0.008246868192508593
sma_50,0.00813205560854943
low_20d,0.008073674241438641
sma_20,0.0078969525670339
trend_volatility,0.007625240473338934
price_volume_trend,0.007070386255780028
sma_200,0.006468962161093788
range_expansion,0.006235431226712021
close_to_low,0.006148039639106454
up_streak_3,0.006087672781791509
bb_lower,0.005733099760892606
rsi_volatility_ratio,0.005701372262991555
volatility_regime,0.005680408767392786
high_20d,0.005657124598817794
vol_regime_5d,0.005108494447249507
price_change_5d,0.005066859994647263
rsi_2,0.004993331726894336
volume_sma,0.0049494993875788115
high_10d,0.004406537231459301
lt_trend,0.0043641972955198284
atr_14,0.004242333651358314
price_channel_width,0.0035201707923972385
down_streak_10,0.0034200698920219277
down_streak_3,0.0032407701993435916
money_flow,0.0030268644843234526
high_5d,0.003011078654225684
bb_width,0.0029430322722557387
volatility_adjusted_return,0.0028348475520761983
vol_regime_10d,0.0027920464881951244
volume_force,0.0027296851253091874
close_to_high,0.002424225633814328
up_streak_20,0.0022882901972742704
down_streak_20,0.00199253996024616
momentum_1d,0.00196517289580599
price_change_1d,0.0018181042603383354
up_streak_10,0.0014337216129530412
down_streak_5,0.001168553964728216
up_streak_5,0.000538311803024346
high_3d,0.0004955806772287063
